Software,Function name,Called time,Log time,Log Level,Weight,Keyword
0,__builtin___memset_chk,351,0,0,0.0456,in
0,apr_palloc,886,1,3,0.0618,apr
0,__builtin_object_size,572,0,0,0.0522,size
0,getrlimit,1,0,0,0.0000,getrlimit
0,ap_log_error_,668,0,0,0.1142,error
0,__error,92,6,22,0.1142,error
0,ap_getword_conf,98,1,4,0.3595,word
0,strcasecmp,668,36,114,0.1539,strcasecmp
0,atol,16,1,3,0.4800,atol
0,geteuid,10,4,16,1.0435,geteuid
0,apr_array_make,184,0,0,0.0678,make
0,apr_hook_sort_register,62,0,0,0.1148,hook
0,apr_array_push,262,1,4,0.0618,apr
0,apr_hook_debug_show,62,0,0,0.1148,hook
0,apr_proc_create,12,4,16,0.5104,proc
0,strrchr,51,3,10,0.4264,strrchr
0,apr_psprintf,360,2,6,0.0618,apr
0,apr_pstrdup,391,3,10,0.0618,apr
0,apr_procattr_cmdtype_set,8,0,0,0.5104,proc
0,ap_run_get_suexec_identity,2,0,0,0.1186,get
0,ap_unix_create_privileged_process,1,0,0,0.3175,process
0,apr_proc_mutex_name,1,0,0,0.5104,proc
0,strcmp,431,43,133,0.8676,strcmp
0,proc_mutex_mech,1,0,0,0.5714,mech
0,apr_os_proc_mutex_get,1,0,0,0.5283,os
0,semctl,1,0,0,0.0000,semctl
0,apr_proc_mutex_lockfile,1,1,4,0.5104,proc
0,chown,3,2,8,2.0000,chown
0,apr_os_global_mutex_get,1,0,0,0.5283,os
0,ap_unixd_set_proc_mutex_perms,2,1,4,0.5104,proc
0,apr_socket_accept,2,2,8,0.7075,accept
0,apr_pollset_remove,5,3,12,0.2222,poll
0,apr_atomic_read32,20,0,0,0.5243,atomic
0,ap_queue_info_get_idlers,4,0,0,0.1186,get
0,apr_pollset_add,12,5,18,0.2222,poll
0,apr_socket_close,40,1,4,0.6230,socket
0,ap_queue_info_term,1,0,0,0.0822,ap
0,pthread_kill,1,0,0,0.1014,pthread
0,wakeup_listener,2,0,0,0.2883,listener
0,ap_queue_interrupt_all,2,0,0,0.2671,all
0,close_worker_sockets,1,0,0,0.1298,close
0,ap_run_child_status,4,0,0,0.3758,status
0,ap_register_extra_mpm_process,1,0,0,0.3175,process
0,apr_pool_destroy,94,0,0,0.0618,apr
0,event_note_child_killed,3,0,0,0.2326,killed
0,exit,93,0,0,0.0159,exit
0,clean_child_exit,11,0,0,0.1342,child
0,apr_atomic_dec32,5,0,0,0.5243,atomic
0,ap_start_shutdown,1,0,0,1.1036,start
0,ap_start_restart,1,0,0,1.1036,start
0,ap_fatal_signal_setup,2,0,0,0.0822,ap
0,sigaction,13,8,32,0.0000,sigaction
0,__sigbits,3,0,0,0.0297,bits
0,apr_socket_timeout_set,32,3,12,0.6230,socket
0,apr_table_get,354,37,114,0.1383,table
0,apr_time_now,101,0,0,0.1905,now
0,apr_atomic_inc32,8,0,0,0.5243,atomic
0,apr_thread_mutex_lock,35,1,4,0.1811,thread
0,apr_thread_mutex_unlock,42,1,4,0.1811,thread
0,apr_pool_clear,40,0,0,0.0618,apr
0,ap_push_pool,10,0,0,0.0822,ap
0,ap_start_lingering_close,2,0,0,1.1036,start
0,start_lingering_close_common,2,0,0,1.1036,start
0,apr_socket_shutdown,2,0,0,0.6230,socket
0,ap_get_conn_socket,9,0,0,0.6230,socket
0,ap_run_suspend_connection,1,0,0,0.2301,connection
0,ap_run_resume_connection,1,0,0,0.2301,connection
0,notify_resume,2,0,0,0.0000,notify
0,apr_pool_cleanup_register,56,0,0,0.0618,apr
0,ap_create_sb_handle,1,0,0,0.2200,create
0,apr_bucket_alloc_create,3,0,0,0.2632,bucket
0,ap_run_create_connection,4,0,0,0.2301,connection
0,apr_bucket_alloc_destroy,2,0,0,0.2632,bucket
0,apr_pool_pre_cleanup_register,2,0,0,0.2184,pre
0,ap_update_vhost_given_ip,2,0,0,0.0822,ap
0,ap_run_pre_connection,5,0,0,0.2301,connection
0,ap_log_cerror_,106,0,0,0.1142,error
0,ap_run_process_connection,3,0,0,0.3175,process
0,ap_update_child_status_from_conn,3,0,0,0.3758,status
0,notify_suspend,4,0,0,0.0000,notify
0,start_lingering_close_blocking,1,0,0,1.1036,start
0,signal_threads,9,0,0,0.2917,threads
0,disable_listensocks,3,0,0,0.3030,listen
0,ap_close_listeners,4,0,0,0.1298,close
0,ap_update_child_status_from_indexes,6,0,0,0.3758,status
0,kill,13,0,0,0.0309,kill
0,sigprocmask,1,0,0,0.0000,sigprocmask
0,apr_socket_opt_set,29,21,84,0.6230,socket
0,ap_queue_push_timer,1,0,0,0.0822,ap
0,ap_queue_push,2,2,8,0.0822,ap
0,ap_queue_info_wait_for_idler,1,0,0,0.1667,wait
0,ap_queue_info_try_get_idler,1,0,0,0.1766,try
0,apr_skiplist_alloc,1,0,0,0.1632,skip
0,apr_skiplist_insert,1,0,0,0.1822,insert
0,apr_socket_recv,8,0,0,0.6230,socket
0,apr_thread_pool_get,1,0,0,0.1811,thread
0,free,24,0,0,0.0130,free
0,init_pollset,1,1,4,0.2222,poll
0,unblock_signal,2,0,0,0.0123,signal
